Profile	Education	Gender	Country of Origin	Reason for Application	Job	Job Experience	Job Plans	Prior Entry	Language Skills
309	two-year college	male	Poland	reunite with family	teacher	1-2 years	contract with employer	six months with family	used interpreter
310	graduate degree	male	Mexico	seek better job	waiter	3-5 years	will look for work	six months with family	used interpreter
311	4th grade	female	India	reunite with family	teacher	3-5 years	interviews with employer	many times as tourist	fluent English
312	college degree	female	Mexico	reunite with family	child care provider	3-5 years	no plans to look for work	once as tourist	tried English but unable
313	8th grade	female	China	reunite with family	teacher	5+ years	will look for work	once as tourist	used interpreter
314	college degree	female	Iraq	reunite with family	research scientist	none	interviews with employer	six months with family	tried English but unable
315	4th grade	male	Somalia	reunite with family	janitor	5+ years	interviews with employer	six months with family	fluent English
316	no formal	female	China	escape persecution	janitor	5+ years	will look for work	once w/o authorization	broken English
317	4th grade	female	India	reunite with family	child care provider	5+ years	contract with employer	never	used interpreter
318	college degree	male	Philippines	seek better job	waiter	none	contract with employer	once as tourist	broken English
319	8th grade	female	India	seek better job	nurse	1-2 years	contract with employer	once w/o authorization	fluent English
320	college degree	male	Philippines	seek better job	waiter	none	will look for work	once w/o authorization	broken English
321	two-year college	male	France	reunite with family	teacher	5+ years	interviews with employer	six months with family	fluent English
322	8th grade	female	India	reunite with family	child care provider	5+ years	interviews with employer	six months with family	tried English but unable
323	4th grade	male	Sudan	escape persecution	construction worker	none	will look for work	once w/o authorization	broken English
324	no formal	female	France	seek better job	child care provider	1-2 years	interviews with employer	many times as tourist	fluent English
325	high school	female	China	escape persecution	child care provider	none	no plans to look for work	once as tourist	broken English
326	8th grade	female	Somalia	seek better job	nurse	3-5 years	interviews with employer	once as tourist	tried English but unable
327	8th grade	male	Sudan	reunite with family	teacher	none	no plans to look for work	once w/o authorization	fluent English
328	college degree	female	Sudan	reunite with family	research scientist	1-2 years	contract with employer	never	used interpreter
329	8th grade	male	India	seek better job	nurse	1-2 years	interviews with employer	never	broken English
330	college degree	female	India	seek better job	research scientist	1-2 years	will look for work	six months with family	used interpreter
331	no formal	female	Sudan	reunite with family	child care provider	none	contract with employer	once as tourist	fluent English
332	no formal	male	Poland	reunite with family	construction worker	none	will look for work	never	fluent English
333	college degree	male	India	reunite with family	nurse	1-2 years	no plans to look for work	once as tourist	used interpreter
334	graduate degree	male	Poland	seek better job	doctor	none	will look for work	never	used interpreter
335	4th grade	male	Iraq	escape persecution	waiter	1-2 years	will look for work	once w/o authorization	fluent English
336	4th grade	female	Mexico	seek better job	teacher	none	interviews with employer	once w/o authorization	broken English
337	4th grade	female	Somalia	reunite with family	janitor	5+ years	will look for work	once w/o authorization	broken English
338	college degree	male	India	seek better job	financial analyst	3-5 years	interviews with employer	many times as tourist	used interpreter
339	two-year college	male	India	reunite with family	child care provider	none	no plans to look for work	once w/o authorization	broken English
340	college degree	female	Somalia	seek better job	janitor	5+ years	interviews with employer	once as tourist	fluent English
341	no formal	male	China	reunite with family	waiter	none	will look for work	once w/o authorization	tried English but unable
342	two-year college	female	Poland	reunite with family	teacher	none	contract with employer	once as tourist	tried English but unable
343	4th grade	female	China	seek better job	construction worker	5+ years	contract with employer	many times as tourist	tried English but unable
344	4th grade	male	Germany	seek better job	child care provider	3-5 years	interviews with employer	once w/o authorization	used interpreter
345	graduate degree	female	Germany	seek better job	gardener	1-2 years	no plans to look for work	once w/o authorization	broken English
346	high school	female	India	reunite with family	waiter	3-5 years	will look for work	many times as tourist	fluent English
347	4th grade	male	Mexico	reunite with family	gardener	none	contract with employer	once w/o authorization	used interpreter
348	college degree	male	Mexico	seek better job	doctor	3-5 years	contract with employer	many times as tourist	broken English
349	high school	female	India	seek better job	gardener	none	will look for work	once w/o authorization	tried English but unable
350	two-year college	female	Sudan	reunite with family	nurse	none	contract with employer	six months with family	fluent English
351	no formal	male	Somalia	seek better job	child care provider	3-5 years	no plans to look for work	once w/o authorization	tried English but unable
352	graduate degree	female	Poland	reunite with family	research scientist	none	no plans to look for work	never	fluent English
